id;ten_sv;gioi_tinh;ngay_sinh;lop;khoa;created_at;updated_at
1;after tune;whenever f;2025-12-09;abaft;obsess ordinary;2025-12-09T10:25:05;2025-12-09T10:34:23
2;excellent adrenalin;regarding ;2025-12-09;ice-cream acidic hepatitis;promptly gosh;2025-12-09T10:45:31;2025-12-10T03:33:30
3;worth;chime acad;2025-12-09;though;content woot furiously;2025-12-10T06:20:20;2025-12-09T11:06:23
4;lest beneath;curiously ;2025-12-09;whereas digital;exacerbate;2025-12-10T02:46:44;2025-12-10T02:43:59
5;CD cuckoo hastily;engender a;2025-12-09;pace yuck whoa;versus gloss boldly;2025-12-10T00:02:10;2025-12-09T17:41:13
6;outrank thrifty barring;unhappy;2025-12-09;packaging;nephew weary since;2025-12-09T23:39:55;2025-12-10T02:18:09
7;frenetically search;ha unfortu;2025-12-09;so;aboard;2025-12-10T01:49:32;2025-12-09T22:26:52
8;stale patiently;vaguely ac;2025-12-10;exalt;cinema;2025-12-09T15:32:57;2025-12-09T14:10:23
9;stabilise before upward;pfft vibra;2025-12-09;suspiciously splash;shear brochure;2025-12-09T13:31:50;2025-12-09T20:17:47
10;and;genuine so;2025-12-09;march impact till;yowza;2025-12-09T08:41:40;2025-12-09T17:14:31
